10 ^         0 x  1.0003224338970374,
10 ^        -4 x  5.3273073131547085,
10 ^         0 x  1.0003224338970374,
10 ^         0 x  1.0005956012098055,
10 ^        -3 x  1.0653985143805757,
10 ^         0 x  1.0005956012098055,
10 ^         0 x  1.0008195769654768,
10 ^        -3 x  1.5979408233342576,
10 ^         0 x  1.0008195769654768,
10 ^         0 x  1.0009944314678140,
10 ^        -3 x  2.1302954843758700,
10 ^         0 x  1.0009944314678140,
10 ^         0 x  1.0011202303433006,
10 ^        -3 x  2.6624006554472268,
10 ^         0 x  1.0011202303433006,
10 ^         0 x  1.0011970345845394,
10 ^        -3 x  3.1941948063717406,
10 ^         0 x  1.0011970345845394,
10 ^         0 x  1.0012249005909850,
10 ^        -3 x  3.7256166994292888,
10 ^         0 x  1.0012249005909850,
10 ^         0 x  1.0012038802070692,
10 ^        -3 x  4.2566053703464324,
10 ^         0 x  1.0012038802070692,
10 ^         0 x  1.0011340207577760,
10 ^        -3 x  4.7871001096825546,
10 ^         0 x  1.0011340207577760,
10 ^         0 x  1.0010153650817186,
10 ^        -3 x  5.3170404445933762,
10 ^         0 x  1.0010153650817186,
10 ^         0 x  1.0008479515617675,
10 ^        -3 x  5.8463661209541589,
10 ^         0 x  1.0008479515617675,
10 ^         0 x  1.0006318141532741,
10 ^        -3 x  6.3750170858257190,
10 ^         0 x  1.0006318141532741,
10 ^         0 x  1.0003669824099342,
10 ^        -3 x  6.9029334702471503,
10 ^         0 x  1.0003669824099342,
10 ^         0 x  1.0000534815073275,
10 ^        -3 x  7.4300555723399001,
10 ^         0 x  1.0000534815073275,
10 ^        -1 x  9.9969133226417093,
10 ^        -3 x  7.9563238407085505,
10 ^        -1 x  9.9969133226417093,
10 ^        -1 x  9.9928055116131785,
10 ^        -3 x  8.4816788581243454,
10 ^        -1 x  9.9928055116131785,
10 ^        -1 x  9.9882115035853282,
10 ^        -3 x  9.0060613254781586,
10 ^        -1 x  9.9882115035853282,
10 ^        -1 x  9.9831313770906901,
10 ^        -3 x  9.5294120459902321,
10 ^        -1 x  9.9831313770906901,
10 ^        -1 x  9.9775651677207239,
10 ^        -2 x  1.0051671909664629,
10 ^        -1 x  9.9775651677207239,
10 ^        -1 x  9.9715128682283420,
10 ^        -2 x  1.0572781877976935,
10 ^        -1 x  9.9715128682283420,
10 ^        -1 x  9.9649744286091018,
10 ^        -2 x  1.1092682968784320,
10 ^        -1 x  9.9649744286091018,
10 ^        -1 x  9.9579497561612295,
10 ^        -2 x  1.1611316241447630,
10 ^        -1 x  9.9579497561612295,
10 ^        -1 x  9.9504387155246092,
10 ^        -2 x  1.2128622782155724,
10 ^        -1 x  9.9504387155246092,
10 ^        -1 x  9.9424411286988470,
10 ^        -2 x  1.2644543689442823,
10 ^        -1 x  9.9424411286988470,
10 ^        -1 x  9.9339567750404957,
10 ^        -2 x  1.3159020059890117,
10 ^        -1 x  9.9339567750404957,
10 ^        -1 x  9.9249853912394997,
10 ^        -2 x  1.3671992974003469,
10 ^        -1 x  9.9249853912394997,
10 ^        -1 x  9.9155266712748959,
10 ^        -2 x  1.4183403482259479,
10 ^        -1 x  9.9155266712748959,
10 ^        -1 x  9.9055802663497806,
10 ^        -2 x  1.4693192591312758,
10 ^        -1 x  9.9055802663497806,
10 ^        -1 x  9.8951457848055305,
10 ^        -2 x  1.5201301250357708,
10 ^        -1 x  9.8951457848055305,
10 ^        -1 x  9.8842227920152389,
10 ^        -2 x  1.5707670337638651,
10 ^        -1 x  9.8842227920152389,
10 ^        -1 x  9.8728108102563057,
10 ^        -2 x  1.6212240647102628,
10 ^        -1 x  9.8728108102563057,
10 ^        -1 x  9.8609093185620961,
10 ^        -2 x  1.6714952875189719,
10 ^        -1 x  9.8609093185620961,
10 ^        -1 x  9.8485177525525549,
10 ^        -2 x  1.7215747607756250,
10 ^        -1 x  9.8485177525525549,
10 ^        -1 x  9.8356355042436437,
10 ^        -2 x  1.7714565307126760,
10 ^        -1 x  9.8356355042436437,
10 ^        -1 x  9.8222619218354394,
10 ^        -2 x  1.8211346299271168,
10 ^        -1 x  9.8222619218354394,
10 ^        -1 x  9.8083963094787097,
10 ^        -2 x  1.8706030761104095,
10 ^        -1 x  9.8083963094787097,
10 ^        -1 x  9.7940379270197541,
10 ^        -2 x  1.9198558707903897,
10 ^        -1 x  9.7940379270197541,
10 ^        -1 x  9.7791859897232756,
10 ^        -2 x  1.9688869980849489,
10 ^        -1 x  9.7791859897232756,
10 ^        -1 x  9.7638396679730185,
10 ^        -2 x  2.0176904234673717,
10 ^        -1 x  9.7638396679730185,
10 ^        -1 x  9.7479980869498846,
10 ^        -2 x  2.0662600925432585,
10 ^        -1 x  9.7479980869498846,
10 ^        -1 x  9.7316603262872104,
10 ^        -2 x  2.1145899298390343,
10 ^        -1 x  9.7316603262872104,
10 ^        -1 x  9.7148254197028601,
10 ^        -2 x  2.1626738376021097,
10 ^        -1 x  9.7148254197028601,
10 ^        -1 x  9.6974923546077619,
10 ^        -2 x  2.2105056946128331,
10 ^        -1 x  9.6974923546077619,
10 ^        -1 x  9.6796600716904844,
10 ^        -2 x  2.2580793550084448,
10 ^        -1 x  9.6796600716904844,
10 ^        -1 x  9.6613274644774189,
10 ^        -2 x  2.3053886471193265,
10 ^        -1 x  9.6613274644774189,
10 ^        -1 x  9.6424933788681052,
10 ^        -2 x  2.3524273723179195,
10 ^        -1 x  9.6424933788681052,
10 ^        -1 x  9.6231566126452016,
10 ^        -2 x  2.3991893038807736,
10 ^        -1 x  9.6231566126452016,
10 ^        -1 x  9.6033159149585713,
10 ^        -2 x  2.4456681858642830,
10 ^        -1 x  9.6033159149585713,
10 ^        -1 x  9.5829699857829178,
10 ^        -2 x  2.4918577319947631,
10 ^        -1 x  9.5829699857829178,
10 ^        -1 x  9.5621174753483715,
10 ^        -2 x  2.5377516245736277,
10 ^        -1 x  9.5621174753483715,
10 ^        -1 x  9.5407569835433870,
10 ^        -2 x  2.5833435133985384,
10 ^        -1 x  9.5407569835433870,
10 ^        -1 x  9.5188870592892753,
10 ^        -2 x  2.6286270147015176,
10 ^        -1 x  9.5188870592892753,
10 ^        -1 x  9.4965061998856534,
10 ^        -2 x  2.6735957101051445,
10 ^        -1 x  9.4965061998856534,
10 ^        -1 x  9.4736128503260515,
10 ^        -2 x  2.7182431455980885,
10 ^        -1 x  9.4736128503260515,
10 ^        -1 x  9.4502054025828740,
10 ^        -2 x  2.7625628305313846,
10 ^        -1 x  9.4502054025828740,
10 ^        -1 x  9.4262821948608642,
10 ^        -2 x  2.8065482366370073,
10 ^        -1 x  9.4262821948608642,
10 ^        -1 x  9.4018415108181738,
10 ^        -2 x  2.8501927970704723,
10 ^        -1 x  9.4018415108181738,
10 ^        -1 x  9.3768815787540879,
10 ^        -2 x  2.8934899054793732,
10 ^        -1 x  9.3768815787540879,
10 ^        -1 x  9.3514005707624023,
10 ^        -2 x  2.9364329150999556,
10 ^        -1 x  9.3514005707624023,
10 ^        -1 x  9.3253966018493934,
10 ^        -2 x  2.9790151378840409,
10 ^        -1 x  9.3253966018493934,
10 ^        -1 x  9.2988677290152629,
10 ^        -2 x  3.0212298436588337,
10 ^        -1 x  9.2988677290152629,
10 ^        -1 x  9.2718119502978738,
10 ^        -2 x  3.0630702593223947,
10 ^        -1 x  9.2718119502978738,
10 ^        -1 x  9.2442272037775318,
10 ^        -2 x  3.1045295680778133,
10 ^        -1 x  9.2442272037775318,
10 ^        -1 x  9.2161113665414933,
10 ^        -2 x  3.1456009087094052,
10 ^        -1 x  9.2161113665414933,
10 ^        -1 x  9.1874622536068076,
10 ^        -2 x  3.1862773749045541,
10 ^        -1 x  9.1874622536068076,
10 ^        -1 x  9.1582776168000216,
10 ^        -2 x  3.2265520146251519,
10 ^        -1 x  9.1582776168000216,
10 ^        -1 x  9.1285551435921936,
10 ^        -2 x  3.2664178295329384,
10 ^        -1 x  9.1285551435921936,
10 ^        -1 x  9.0982924558875690,
10 ^        -2 x  3.3058677744734295,
10 ^        -1 x  9.0982924558875690,
10 ^        -1 x  9.0674871087641803,
10 ^        -2 x  3.3448947570235281,
10 ^        -1 x  9.0674871087641803,
10 ^        -1 x  9.0361365891645289,
10 ^        -2 x  3.3834916371083656,
10 ^        -1 x  9.0361365891645289,
10 ^        -1 x  9.0042383145343985,
10 ^        -2 x  3.4216512266933963,
